reference_distance_m,open_loop_final_error_m,ekf_final_error_m,open_loop_drift_pct,ekf_drift_pct,is_low_motion,start_idx,duration_steps,dt_seconds,map_matched_ekf_drift_m,map_matched_ekf_drift_pct,map_matched_dr_drift_m,map_matched_dr_drift_pct,trip,duration_s,seed,excluded
550.1311808328059,26.52518583536747,28.428964487896835,4.821611055605467,5.16767009004292,False,7670,30.0,1.0,7809821.683133662,1419628.9821840145,7809821.683133662,1419628.9821840145,A5,30,42,False
707.4483910445863,206.5974105074046,207.62101275381423,29.203177662522094,29.347866979702992,False,8106,30.0,1.0,7812664.380045986,1104344.0735670002,7812664.380045986,1104344.0735670002,A5,30,42,False
440.5370857535928,55.93490303438929,54.50992245274638,12.696979401565198,12.373515015086745,False,4715,30.0,1.0,7816811.099844955,1774382.0787467507,7816811.099844955,1774382.0787467507,A5,30,42,False
415.051558476619,76.57855707090553,78.16151463253625,18.45037213014571,18.83176030453077,False,2022,30.0,1.0,7809549.198209993,1881585.320839104,7809549.198209993,1881585.320839104,A5,30,42,False
728.8412193379894,238.57774793853076,235.7300413494661,32.733844026444096,32.343127020667275,False,676,30.0,1.0,7808379.564711812,1071341.6526859181,7808379.564711812,1071341.6526859181,A5,30,42,False
,,,,,,2283,,,,,,,A5,30,42,True
562.9049847189924,41.263347245534646,37.9538951800469,7.330428467627394,6.742504722887442,False,5739,30.0,1.0,7819606.2894848455,1389152.0774839947,7819606.2894848455,1389152.0774839947,A5,30,42,False
494.7926781904535,21.71876692208039,21.197331506196036,4.389468130674419,4.284083504169568,False,2476,30.0,1.0,7811352.155023566,1578712.15548118,7811352.155023566,1578712.15548118,A5,30,42,False
672.3574358491201,105.90323634082309,106.27290124276584,15.751032218016286,15.80601263203906,False,6851,30.0,1.0,7813792.557435377,1162148.6044201087,7813792.557435377,1162148.6044201087,A5,30,42,False
654.9845540748955,133.44860032960023,136.42875032044475,20.374312569566452,20.829308030498154,False,511,30.0,1.0,7808604.218637396,1192181.4293264241,7808604.218637396,1192181.4293264241,A5,30,42,False
617.3027230813854,129.75157334396354,129.9123402729558,21.0191156611595,21.04515911163867,False,6343,30.0,1.0,7815660.954523161,1266098.5708130016,7815660.954523161,1266098.5708130016,A5,30,42,False
622.1994295981514,98.4198400574321,96.43308536999398,15.818053726117482,15.498742168933754,False,8014,30.0,1.0,7811169.948946874,1255412.5859600566,7811169.948946874,1255412.5859600566,A5,30,42,False
670.5598263900652,106.39119403752417,107.13644028463887,15.866025647596182,15.977163568149328,False,6913,30.0,1.0,7813252.425691832,1165183.4956702068,7813252.425691832,1165183.4956702068,A5,30,42,False
728.1996966341706,189.03076723334905,185.47437839100553,25.958644051497515,25.470263067712214,False,789,30.0,1.0,7808990.449084305,1072369.3631264102,7808990.449084305,1072369.3631264102,A5,30,42,False
622.7708246391974,124.52733656030298,130.0733801485608,19.995692096277626,20.886235353738495,False,7499,30.0,1.0,7809659.79019793,1254018.248963808,7809659.79019793,1254018.248963808,A5,30,42,False
