timestamp,reference_velocity,predicted_velocity,reference_lat,reference_lon,estimated_lat,estimated_lon,position_error
0,33.654716,33.654716,51.530693,-2.599872,51.53054880941035,-2.600283726846053,32.68363385825507
1,33.69927,33.69927,51.530693,-2.599901,51.530409147981175,-2.600715466864889,64.57871215031888
2,34.44429,34.44429,51.530685,-2.599943,51.53026934442621,-2.6011591803693195,95.98823935541539
3,35.015213,35.015213,51.530663,-2.599996,51.53012484357694,-2.601608289031103,126.56842442065044
4,35.813797,35.813797,51.53065,-2.600046,51.529980064551445,-2.6020701152725265,158.60021565788344
5,36.138992,36.138992,51.530636,-2.600095,51.52983704433713,-2.6025385903975047,190.9583315552438
6,35.999657,35.999657,51.530624,-2.600141,51.529691188663016,-2.6030025465301248,223.47586072170017
7,35.57334,35.57334,51.530613,-2.60018,51.52954345734039,-2.6034580340863567,256.0520722052611
8,35.85981,35.85981,51.530605,-2.600213,51.52939852107357,-2.6039204710678683,289.43241752358176
9,35.906776,35.906776,51.530598,-2.600244,51.529253711937905,-2.6043837685684217,323.03344616020325
10,35.97492,35.97492,51.530582,-2.600273,51.52911047908037,-2.6048494268463016,356.36082098193
11,35.943043,35.943043,51.530575,-2.600297,51.52896861902974,-2.6053156558909856,390.42329817759173
12,36.053326,36.053326,51.530567,-2.600317,51.528828761891376,-2.605785210543469,424.7859839325371
13,35.718292,35.718292,51.53056,-2.600331,51.52869233884488,-2.6062520274387047,459.23032600248376
14,35.865364,35.865364,51.530556,-2.600338,51.52855872878651,-2.6067232751289735,494.39429221942834
15,35.60283,35.60283,51.53056,-2.600329,51.528425495102496,-2.607190629955925,530.6912719001242
16,35.573463,35.573463,51.53056,-2.600329,51.528293301632644,-2.607658280287976,566.2018754179168
17,35.311874,35.311874,51.53056,-2.60032,51.52816147405959,-2.608122046448461,602.0144934734113
18,35.24091,35.24091,51.53056,-2.60032,51.52802899067531,-2.608584200180322,637.2036753663699
19,35.26931,35.26931,51.53056,-2.60032,51.52789763907638,-2.60904763716011,672.4185001309462
20,35.400883,35.400883,51.530556,-2.60032,51.52776426553668,-2.6095116719608638,707.5755725390096
21,35.33246,35.33246,51.530556,-2.60032,51.52762870548928,-2.6099729730811005,742.8657161941524
22,35.393486,35.393486,51.530552,-2.600326,51.52749348511907,-2.6104355041423584,777.6483881054436
23,35.340683,35.340683,51.530552,-2.600326,51.52735973345572,-2.6108982952814004,812.9442060769641
24,35.442696,35.442696,51.530552,-2.600326,51.52722652040165,-2.611363108490562,848.340326652402
25,35.490635,35.490635,51.530544,-2.600333,51.527090670665245,-2.611826709765998,882.966222818517
26,35.408184,35.408184,51.530544,-2.600333,51.526955741117376,-2.6122896891003022,918.3324148751998
27,35.453365,35.453365,51.530544,-2.600333,51.52682495150875,-2.612756441848972,953.7343023881685
28,35.438965,35.438965,51.530544,-2.600333,51.526696687017434,-2.6132247729617473,989.1140538251807
29,35.26744,35.26744,51.530544,-2.600333,51.52656936235867,-2.6136910614461994,1024.322661595849
30,35.4094,35.4094,51.530544,-2.600333,51.52644118642072,-2.6141589861870815,1059.6755583043355
31,35.27131,35.27131,51.530544,-2.600333,51.52631012634587,-2.614622651891864,1094.9014658432748
32,35.35293,35.35293,51.530544,-2.600333,51.526179081124624,-2.6150876211759395,1130.2085547563042
33,35.340633,35.340633,51.530544,-2.600333,51.52604655065734,-2.615551304942587,1165.5066432941092
34,35.33864,35.33864,51.530544,-2.600333,51.52591340677413,-2.6160145014095257,1200.803790086605
35,35.254353,35.254353,51.530544,-2.600333,51.52577905860296,-2.6164754537688353,1236.018279201592
36,35.15836,35.15836,51.530544,-2.600333,51.52564751210223,-2.6169369635002133,1271.1342141454131
37,35.192307,35.192307,51.530544,-2.600333,51.525517075669356,-2.6173998232748343,1306.281968293507
38,35.268723,35.268723,51.530544,-2.600333,51.52538543315939,-2.6178630120599364,1341.5080026563521
39,34.657654,34.657654,51.530544,-2.600333,51.525257290395714,-2.6183190641318452,1376.121604460306
40,33.646942,33.646942,51.530544,-2.600333,51.52513553479252,-2.618763714370444,1409.7190632118843
41,33.73728,33.73728,51.530544,-2.600343,51.52501226063674,-2.619208709405664,1442.7848968501664
42,34.113556,34.113556,51.530537,-2.60036,51.52488791961768,-2.619658886388317,1475.4562666792451
43,34.15322,34.15322,51.530533,-2.600389,51.52476259334289,-2.620108983307811,1507.5605086511487
44,34.139385,34.139385,51.53052,-2.600431,51.52463821424066,-2.6205595386658422,1538.4093059864385
45,34.49463,34.49463,51.530502,-2.600486,51.5245192025486,-2.621019382606791,1568.5368717973172
