timestamp,reference_velocity,predicted_velocity,reference_lat,reference_lon,estimated_lat,estimated_lon,position_error
0,8.354053,8.354053,51.530693,-2.599872,51.530654952502125,-2.599960670357845,7.451218574770654
1,8.948822,8.948822,51.530693,-2.599901,51.53061786548705,-2.60007531894775,14.669767028525285
2,8.947935,8.947935,51.530685,-2.599943,51.53058154733007,-2.600190587336982,20.63125223585778
3,8.575125,8.575125,51.530663,-2.599996,51.53054615948859,-2.60030057350802,24.752337019016338
4,8.946867,8.946867,51.53065,-2.600046,51.53050999134132,-2.6004159462564944,29.95417751003504
5,8.185665,8.185665,51.530636,-2.600095,51.530477596537075,-2.600522059484554,34.393856717828115
6,8.037219,8.037219,51.530624,-2.600141,51.5304450330598,-2.6006256429594248,38.9862317479565
7,8.396631,8.396631,51.530613,-2.60018,51.53041016297475,-2.6007331567387566,44.416739352145264
8,8.533369,8.533369,51.530605,-2.600213,51.53037567325883,-2.60084320251344,50.504071025925725
9,8.326328,8.326328,51.530598,-2.600244,51.53034209384789,-2.600950637662487,56.560354227156196
10,8.833282,8.833282,51.530582,-2.600273,51.53030692444801,-2.601064978142634,62.744745584950444
11,9.363968,9.363968,51.530575,-2.600297,51.53026996672663,-2.601186444446145,70.25646155595125
12,8.934528,8.934528,51.530567,-2.600317,51.53023530813286,-2.601302810112794,77.52780840340618
13,8.708403,8.708403,51.53056,-2.600331,51.53020204711328,-2.601416627286625,84.99341674922066
14,8.674486,8.674486,51.530556,-2.600338,51.53016973185224,-2.6015306082047136,93.00911394387552
15,8.752287,8.752287,51.53056,-2.600329,51.53013697885305,-2.601645502677885,102.49867830770282
16,8.744449,8.744449,51.53056,-2.600329,51.53010448387228,-2.601760461910307,111.22316559092926
17,8.658004,8.658004,51.53056,-2.60032,51.53007216149775,-2.601874175752821,120.41912569873077
18,8.541264,8.541264,51.53056,-2.60032,51.53004005178438,-2.601986191661366,128.945808595944
19,8.534501,8.534501,51.53056,-2.60032,51.530008267199925,-2.6020983395348796,137.4651487051232
20,8.841085,8.841085,51.530556,-2.60032,51.52997495823222,-2.602214233862877,146.0954099444231
21,8.74608,8.74608,51.530556,-2.60032,51.529941402144594,-2.6023284283675348,154.83053977706936
