timestamp,reference_velocity,predicted_velocity,reference_lat,reference_lon,estimated_lat,estimated_lon,position_error
0,5.167695,5.167695,51.530693,-2.599872,51.530668320129045,-2.599919984727395,4.3068238567985935
1,6.0096045,6.0096045,51.530693,-2.599901,51.530643414248644,-2.5999969773055462,8.63010197423883
2,6.0036097,6.0036097,51.530685,-2.599943,51.53061904661126,-2.6000743165793643,11.674594072248802
3,7.009969,7.009969,51.530663,-2.599996,51.53059011785656,-2.60016422784405,14.180839763222236
4,6.7797613,6.7797613,51.53065,-2.600046,51.53056271033995,-2.6002516551471575,17.22173914212612
5,4.83497,4.83497,51.530636,-2.600095,51.53054357592582,-2.600314332383513,18.325149422527346
6,5.596737,5.596737,51.530624,-2.600141,51.53052090026972,-2.600386463091116,20.487467402481467
7,7.056598,7.056598,51.530613,-2.60018,51.530491595162495,-2.60047681870908,24.57251722201592
8,6.647294,6.647294,51.530605,-2.600213,51.530464728483985,-2.6005625419358176,28.77355017484646
9,5.881068,5.881068,51.530598,-2.600244,51.53044101060976,-2.600638425885707,32.390531778334726
10,4.8594933,4.8594933,51.530582,-2.600273,51.53042166271026,-2.6007013286629292,34.57969884260468
11,6.6820593,6.6820593,51.530575,-2.600297,51.53039528994946,-2.600788006350872,39.40725848457598
12,7.8817635,7.8817635,51.530567,-2.600317,51.530364715214326,-2.6008906608109577,45.61402592987155
13,6.717481,6.717481,51.53056,-2.600331,51.53033905835382,-2.600978457267282,51.08299992932117
14,6.6286488,6.6286488,51.530556,-2.600338,51.53031436449749,-2.601065556575642,57.051279534384314
15,5.6688223,5.6688223,51.53056,-2.600329,51.53029315050694,-2.601139973516741,63.46247472166135
16,6.2276845,6.2276845,51.53056,-2.600329,51.53027000799724,-2.6012218462926304,69.67298003488828
17,7.5470552,7.5470552,51.53056,-2.60032,51.530241833056266,-2.6013209693458106,77.75606048917267
18,7.962475,7.962475,51.53056,-2.60032,51.53021189922015,-2.6014253950162414,85.70368407988786
