timestamp,reference_velocity,predicted_velocity,reference_lat,reference_lon,estimated_lat,estimated_lon,position_error
0,30.814734,30.814734,47.211536,-1.626885,47.21126235374696,-1.6269464672171592,30.78025427922914
1,30.650595,30.650595,47.211536,-1.626885,47.21098974016902,-1.6270033560191248,61.3956909880052
2,31.073423,31.073423,47.211536,-1.626885,47.21071367984235,-1.627064200966122,92.43428188635328
3,30.990267,30.990267,47.211536,-1.626885,47.21043865237433,-1.6271277070179604,123.38901068283914
4,30.762629,30.762629,47.211536,-1.626885,47.21016574867528,-1.6271917106154177,154.11625247290922
5,30.917963,30.917963,47.211536,-1.626885,47.209890998824356,-1.6272515514083428,184.99941440379004
6,31.288849,31.288849,47.211536,-1.626885,47.209613506929756,-1.6273173845530324,216.25203072963208
7,30.944529,30.944529,47.211536,-1.626885,47.20933844203197,-1.6273764850521266,247.16133301596713
8,30.768476,30.768476,47.209805,-1.626942,47.20906525334037,-1.6274383070971932,90.39650369956087
9,30.935743,30.935743,47.209805,-1.626942,47.208791355774885,-1.6275074905415294,120.53479075307851
10,30.858519,30.858519,47.209805,-1.626942,47.20851793830857,-1.6275747306637625,150.88462647145622
11,30.849936,30.849936,47.209805,-1.626942,47.208244323419336,-1.6276394960580596,181.36105347234425
12,30.904314,30.904314,47.209805,-1.626942,47.207970235055534,-1.6277044559725733,211.9902088326579
13,30.620066,30.620066,47.209805,-1.626942,47.207698297558004,-1.6277653378367951,242.37002827679845
14,30.799477,30.799477,47.209805,-1.626942,47.20742481263533,-1.6278270189770927,272.977506023699
15,31.037682,31.037682,47.209805,-1.626942,47.20714846004933,-1.6278814580860046,303.7984929889873
16,30.843721,30.843721,47.209805,-1.626942,47.206873790537024,-1.6279350715769125,334.45673483599614
17,30.868105,30.868105,47.2083,-1.626493,47.20659919938022,-1.6279919111296643,220.4245594268532
18,31.097383,31.097383,47.2083,-1.626493,47.206322622017865,-1.628049728481121,249.3459529947699
19,31.147388,31.147388,47.2083,-1.626493,47.2060457960154,-1.6281096358666425,278.82251720435335
20,30.837244,30.837244,47.2083,-1.626493,47.20577164244537,-1.6281680991118457,308.3046879883585
21,31.176321,31.176321,47.2083,-1.626493,47.20549397191921,-1.6282218529911505,338.24552113643637
22,31.159422,31.159422,47.2083,-1.626493,47.205216556775945,-1.6282767384123173,368.3903182649931
23,31.148794,31.148794,47.2083,-1.626493,47.20493990576913,-1.6283384952393838,398.7872435107339
24,31.52556,31.52556,47.2083,-1.626493,47.20465947805323,-1.6283966679203772,429.5918410548805
25,31.141684,31.141684,47.2083,-1.626493,47.20438173966986,-1.6284459661404704,459.9906505608135
26,30.976812,30.976812,47.206966,-1.625634,47.20410551860891,-1.628495572361225,384.57617898683884
27,31.047567,31.047567,47.206966,-1.625634,47.20382908766418,-1.6285501315678272,412.5486038785366
28,31.191027,31.191027,47.206966,-1.625634,47.20355218396798,-1.628613147033238,441.2986558231518
29,30.896343,30.896343,47.206966,-1.625634,47.20327676728032,-1.6286636600648419,469.7501267749738
30,31.099888,31.099888,47.206966,-1.625634,47.20299966942205,-1.6287160558431428,498.72020484485404
31,30.785679,30.785679,47.206966,-1.625634,47.20272572206341,-1.6287717953846652,527.7289205090769
32,31.103682,31.103682,47.206966,-1.625634,47.20244840902063,-1.6288220752175433,557.0835657089866
33,31.410173,31.410173,47.206966,-1.625634,47.202168651979164,-1.6288761872691204,586.9825777642108
34,31.107275,31.107275,47.206966,-1.625634,47.20189146344542,-1.6289283088236792,616.7061968506536
35,31.09074,31.09074,47.205692,-1.624574,47.20161431386109,-1.628979138087486,562.4368187665924
36,31.332773,31.332773,47.205692,-1.624574,47.201335130263594,-1.6290318012951577,590.012635325758
37,30.90864,30.90864,47.205692,-1.624574,47.20105923360814,-1.6290777467113968,617.3584579842872
38,31.424149,31.424149,47.205692,-1.624574,47.20077915051414,-1.629129573736525,645.6535393296144
39,31.079512,31.079512,47.205692,-1.624574,47.20050141718677,-1.6291715237717679,673.6137775990688
40,30.99946,30.99946,47.205692,-1.624574,47.200224144306134,-1.629209532418421,701.6403812251598
41,31.03823,31.03823,47.205692,-1.624574,47.199946907889064,-1.629253223303293,730.1086983225952
42,31.382896,31.382896,47.205692,-1.624574,47.199666574928386,-1.6292971515770258,759.0880895605546
43,31.187458,31.187458,47.205692,-1.624574,47.19938830153233,-1.6293449449732222,788.1785529167707
44,31.274183,31.274183,47.204407,-1.623487,47.19910950292777,-1.6293959088329177,739.096529402466
