timestamp,reference_velocity,predicted_velocity,reference_lat,reference_lon,estimated_lat,estimated_lon,position_error
0,15.2259865,15.2259865,47.211536,-1.626885,47.21140078759751,-1.6269153718030633,15.208949365653982
1,14.465795,14.465795,47.211536,-1.626885,47.21127212542796,-1.626942221000542,29.658141103985145
2,6.896372,6.896372,47.211536,-1.626885,47.211210857165376,-1.62695572487516,36.546780509355884
3,6.180068,6.180068,47.211536,-1.626885,47.211156011285226,-1.6269683893482185,42.719724498007224
4,10.016162,10.016162,47.211536,-1.626885,47.211067155170966,-1.6269892288894623,52.7242728969713
5,12.280039,12.280039,47.211536,-1.626885,47.210958029649476,-1.62701299694138,64.99052635859466
6,5.808825,5.808825,47.211536,-1.626885,47.21090651283384,-1.6270252192162533,70.79255937083622
7,5.8739104,5.8739104,47.211536,-1.626885,47.21085429983705,-1.6270364379847126,76.65982271040676
8,13.113371,13.113371,47.209805,-1.626942,47.21073786818211,-1.6270627869843923,104.13068198828314
9,12.315224,12.315224,47.209805,-1.626942,47.21062883217958,-1.6270903291207897,92.28859686449795
10,4.8491554,4.8491554,47.209805,-1.626942,47.21058586693528,-1.6271008957038462,87.6540599182225
11,5.6734834,5.6734834,47.209805,-1.626942,47.21053554755868,-1.6271128069026184,82.25140152436258
12,13.865139,13.865139,47.209805,-1.626942,47.21041257853696,-1.6271419522559998,69.22734391432387
13,5.131531,5.131531,47.209805,-1.626942,47.210367005295936,-1.627152155746374,64.47683199634373
14,4.4746246,4.4746246,47.209805,-1.626942,47.21032727272558,-1.627161117386877,60.3866130413438
15,5.503833,5.503833,47.209805,-1.626942,47.21027826782719,-1.6271707714633223,55.38957201225123
16,11.479724,11.479724,47.209805,-1.626942,47.21017603858794,-1.6271907270447346,45.334041085941976
17,17.789576,17.789576,47.2083,-1.626493,47.21001778915387,-1.627223486246397,198.81984296300408
18,7.6889305,7.6889305,47.2083,-1.626493,47.209949404489926,-1.6272377826984092,191.84008142818456
19,9.037907,9.037907,47.2083,-1.626493,47.20986907905362,-1.6272551669610216,183.72698056229845
20,7.348312,7.348312,47.2083,-1.626493,47.20980375006575,-1.627269099371047,177.1886674230256
21,4.3340855,4.3340855,47.2083,-1.626493,47.209765148725005,-1.6272765727229361,173.33592071603414
22,2.6947336,2.6947336,47.2083,-1.626493,47.20974115726858,-1.627281319714075,170.9555465436795
23,5.273658,5.273658,47.2083,-1.626493,47.20969431877039,-1.6272917763678172,166.36826235794436
24,13.8527155,13.8527155,47.2083,-1.626493,47.20957109541392,-1.6273173404441983,154.44810223683993
25,19.183064,19.183064,47.2083,-1.626493,47.20940001047457,-1.627347710621717,138.30936497208833
26,19.666384,19.666384,47.206966,-1.625634,47.20922464480689,-1.6273792073187299,283.6470805951059
27,22.179155,22.179155,47.206966,-1.625634,47.209027173462545,-1.627418186021673,265.8824474373351
28,22.282978,22.282978,47.206966,-1.625634,47.20882935249793,-1.6274632089013417,249.04372549140183
29,18.116894,18.116894,47.206966,-1.625634,47.20866785458748,-1.6274928315096744,235.64207928442022
30,15.307287,15.307287,47.206966,-1.625634,47.208531467712895,-1.6275186232021641,224.8741668764454
31,16.436348,16.436348,47.206966,-1.625634,47.20838520833919,-1.6275483854188273,214.04708199823546
32,13.730629,13.730629,47.206966,-1.625634,47.2082627893101,-1.6275705836717305,205.40932265698999
33,17.413578,17.413578,47.206966,-1.625634,47.20810769398453,-1.627600586298866,195.41016918542732
34,14.298207,14.298207,47.206966,-1.625634,47.2079802865176,-1.6276245462320893,187.9624548160656
35,15.313143,15.313143,47.205692,-1.624574,47.20784378185006,-1.6276495840766172,333.50709774717353
36,14.243922,14.243922,47.205692,-1.624574,47.207716864598744,-1.627673527655558,324.83327007887175
37,5.8422074,5.8422074,47.205692,-1.624574,47.207664715895476,-1.6276822130893545,321.3204150810616
38,12.819921,12.819921,47.205692,-1.624574,47.20755045208327,-1.627703359281429,313.985611122657
39,10.205758,10.205758,47.205692,-1.624574,47.20745925119226,-1.627717136414359,308.2072681749075
40,4.565466,4.565466,47.205692,-1.624574,47.20741841564609,-1.627722734897076,305.6612647368325
41,11.912039,11.912039,47.205692,-1.624574,47.207312016187664,-1.6277395051216021,299.3839815348593
42,18.244944,18.244944,47.205692,-1.624574,47.207149040183374,-1.6277650470647547,290.4426071259413
43,16.469444,16.469444,47.205692,-1.624574,47.20700208982327,-1.627790289317688,283.28837620168304
44,7.802115,7.802115,47.204407,-1.623487,47.20693253664756,-1.6278030053320451,430.30987310360297
45,6.67155,6.67155,47.204407,-1.623487,47.20687293622905,-1.6278122661230259,426.55020143756127
46,11.944668,11.944668,47.204407,-1.623487,47.20676634751575,-1.6278304320831336,420.1008506189493
47,15.803331,15.803331,47.204407,-1.623487,47.20662564071076,-1.627858178080185,412.1896869589564
48,6.931347,6.931347,47.204407,-1.623487,47.20656379977475,-1.6278688610814223,408.7646489032513
49,14.936488,14.936488,47.204407,-1.623487,47.20643055609675,-1.6278921129604145,401.7060799444822
50,15.600522,15.600522,47.204407,-1.623487,47.206291405351,-1.6279166033297345,394.8153254944616
51,8.294626,8.294626,47.204407,-1.623487,47.206217292999085,-1.627927946287948,391.23888883454117
52,20.822306,20.822306,47.204407,-1.623487,47.20603150249838,-1.6279598434153906,383.14555109940346
53,20.172121,20.172121,47.20312,-1.622372,47.205851359031136,-1.627988730035139,521.8056366847214
54,5.9683433,5.9683433,47.20312,-1.622372,47.20579805094595,-1.627997155886099,518.8992555239612
55,11.67083,11.67083,47.20312,-1.622372,47.20569407812428,-1.6280169730426715,513.5946830171116
56,17.369404,17.369404,47.20312,-1.622372,47.2055390093117,-1.6280424532394655,505.8182553803351
57,18.488628,18.488628,47.20312,-1.622372,47.20537387957264,-1.6280686517653962,498.0075374039127
58,17.636898,17.636898,47.20312,-1.622372,47.20521669378461,-1.628097878770758,491.3878241153469
59,19.16075,19.16075,47.20312,-1.622372,47.2050456686961,-1.6281264613748692,484.59215727317036
